Date,year,Sample ID,Species (common),Species (scientific),sp_code,sp_number,Location (general),Age,Sex Field,Weight,Bag,Bag Weight,Actual Weight,Beak,Tarsus,Tail,Wing,Head,Hg.raw,Hg,logHg,carbon,nitrogen,logN
3-Jul-10,2010,TH2010_002,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,565,black,21,544,52.7,37.11,none,180,NA,396.0739,396.0739,2.597776225,-19.99,14.65,1.165837625
3-Jul-10,2010,TH2010_005,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,590,black,21,569,50.08,37.06,none,180,NA,258.0477,258.0477,2.411699993,-19.93,14.72,1.16790781
5-Jul-10,2010,TH2010_035,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,none,NA,NA,NA,none,none,none,none,NA,252.12305,252.12305,2.401612552,NA,NA,NA
5-Jul-10,2010,TH2010_036,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,530,black,21,509,53.17,37.41,none,175,NA,189.8225,189.8225,2.278347689,-19.98,14.06,1.147985321
27-Jul-10,2010,TH2010_092,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,female,520,black,21,499,48.66,37.34,none,170,NA,342.9687,342.9687,2.535254487,-19.8,15.07,1.178113252
27-Jul-10,2010,TH2010_094,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,630,black,21,609,55.83,37.12,none,180,NA,377.1498,377.1498,2.576513882,-19.73,14.34,1.156549151
27-Jul-10,2010,TH2010_097,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,600,black,21,579,48.87,38.2,none,185,NA,296.1447,296.1447,2.471503965,-19.64,14.31,1.155639634
27-Jul-10,2010,TH2010_101,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,620,black,21,599,53.58,38.97,none,192,NA,328.5908,328.5908,2.5166554,-19.71,14.16,1.151063253
27-Jul-10,2010,TH2010_104,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,male,600,black,21,579,47.98,38.16,none,178,NA,324.2974,324.2974,2.510943467,-20.13,15.04,1.177247836
30-Jul-10,2010,TH2010_319,Atlantic Puffin,Fratercula arctica,ATPU,1,Witches Tit,adult,unknown,560,red,14,546,51.27,37.65,none,181,NA,191.4292,191.4292,2.282008184,-19.81,14.58,1.163757524
16-Jul-11,2011,TH2011_036,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,530,black,20,510,48.86,37.35,none,182,NA,250.5837,250.5837,2.398952818,NA,NA,NA
27-Jul-11,2011,TH2011_165,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,640,black,20,620,56.12,39.57,NA,198,NA,307.1524,307.1524,2.487353913,-20.73,13.54,1.131618664
27-Jul-11,2011,TH2011_166,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,570,black,20,550,49.92,35.54,NA,188,NA,295.4655,295.4655,2.470506778,-20.04,14.28,1.154728207
27-Jul-11,2011,TH2011_167,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,595,black,20,575,56,37.99,NA,192,NA,387.9817,387.9817,2.588811242,-19.79,14.52,1.161966616
5-Aug-12,2012,TH12_A053,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,590,black,21,569,52.27,37.33,--,186,NA,155,155,2.190331698,NA,NA,NA
5-Aug-12,2012,TH12_A054,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,595,black,21,574,50.46,36.17,--,190,NA,351.273,351.273,2.54564477,NA,NA,NA
5-Aug-12,2012,TH12_A055,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,625,black,21,604,50.98,38.05,--,192,NA,236.056,236.056,2.373015044,NA,NA,NA
19-Jul-13,2013,TH13-013,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,510,red bag,14,496,48.77,37.84,42,182,NA,334.63675,334.63675,2.524573634,-20.05,14.16,1.151063253
20-Jul-13,2013,TH13-014,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,440,red bag,14,426,44.6,31.88,44,170,NA,390.5505,390.5505,2.591677198,NA,NA,NA
20-Jul-13,2013,TH13-015,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,560,red bag,14,546,52.45,36.39,59,92,NA,417.229,417.229,2.620374487,-19.62,13.86,1.14176323
20-Jul-13,2013,TH13-016,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,640,red bag,14,626,56.1,39.57,59,199,NA,649.0817,649.0817,2.812299365,-20.63,14.5,1.161368002
23-Jul-13,2013,TH13-033,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,female?,470,red bag,14,456,44.59,34.63,51,175,NA,536.614,536.614,2.729661999,NA,NA,NA
23-Jul-13,2013,TH13-034,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,575,red bag,14,561,56.11,37.15,35,186,NA,612.3562,612.3562,2.787004119,NA,NA,NA
29-Jul-13,2013,TH13-038,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,550,red bag,14,536,49.73,44.65,45,189,NA,293.66935,293.66935,2.467858622,-20.07,13.96,1.144885418
29-Jul-13,2013,TH13-039,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,sub-adult,unknown,610,red bag,14,596,47.76,38.29,44,186,NA,239.5488,239.5488,2.379394,-20.68,12.12,1.08350262
8-Jul-14,2014,TH14_054,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,660,black,48,612,51.21,40.18,49,184,NA,374.8465,374.8465,2.57385346,-20.84,13.73,1.137670537
11-Jul-14,2014,TH14_055,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,675,black,48,627,52.58,38.66,50,182,NA,497.3867,497.3867,2.696694168,NA,NA,NA
11-Jul-14,2014,TH14_056,Atlantic Puffin,NA,ATPU,1,Witch's Tit,adult,unknown,470,black,48,422,45.86,32.8,52,168,NA,338.885,338.885,2.530052346,-19.9,13.86,1.14176323
11-Jul-14,2014,TH14_057,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,650,black,48,602,50.88,37.92,52,175,NA,556.6634,556.6634,2.745592668,-20.56,14.39,1.158060794
11-Jul-14,2014,TH14_066,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,640,black,48,592,54.2,37.37,55,184,NA,611.5198,611.5198,2.786410523,-20.48,14.13,1.150142162
12-Jul-14,2014,TH14_068,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,675,black,48,627,53.25,37.61,54,190,NA,625.7327,625.7327,2.796388851,-21.07,14.04,1.147367108
11-Jul-14,2014,TH14_070,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,670,black,48,622,51.25,38.18,52,191,NA,306.6041,306.6041,2.486577958,-20.57,13.44,1.128399269
24-Jul-14,2014,TH14_082,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,455,black,48,407,44.53,31.78,42,165,NA,415.4258,415.4258,2.618493465,-20.42,13.61,1.133858125
24-Jul-14,2014,TH14_083,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,625,black,48,577,55.4,37.75,41,187,NA,646.0777,646.0777,2.810284751,-20.27,14.32,1.155943018
24-Jul-14,2014,TH14_084,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,610,black,48,562,50.48,39.29,41,186,NA,595.4051,595.4051,2.77481255,NA,NA,NA
24-Jul-14,2014,TH14_085,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,630,black,48,582,52.19,37.64,47,195,NA,456.3188,456.3188,2.659268362,NA,NA,NA
24-Jul-14,2014,TH14_086,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,590,black,48,542,53.22,39.25,47,183,NA,234.968,234.968,2.37100872,NA,NA,NA
28-Jul-14,2014,TH14_087,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,540,black,48,492,47.9,35.23,54,182,NA,531.4198,531.4198,2.725437732,-20.42,13.28,1.123198075
28-Jul-14,2014,TH14_088,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,550,black,48,502,48.84,37.62,46,182,NA,388.6348,388.6348,2.589541687,NA,NA,NA
28-Jul-14,2014,TH14_089,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,570,black,48,522,52.87,37.1,49,181,NA,368.0801,368.0801,2.565942338,-20.66,13.52,1.130976692
28-Jul-14,2014,TH14_090,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,sub-adult,unknown,600,black,48,552,47.65,37.81,56,185,NA,277.4425,277.4425,2.443172989,-20.7,13.32,1.124504225
28-Jul-14,2014,TH14_091,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,615,black,48,567,50.89,37.31,56,185,NA,377.1825,377.1825,2.576551535,-20.6,14.37,1.157456768
27-Jul-15,2015,TH15_003,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,610,black,21,589,53.49,36.01,54,186,none,378.3967,378.3967,2.57794734,NA,NA,NA
27-Jul-15,2015,TH15_009,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,590,black,21,569,51.96,38.11,49,184,none,285.7038,285.7038,2.455916017,NA,NA,NA
27-Jul-15,2015,TH15_012,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,580,red,14,566,50.65,38.16,53,191,none,383.534,383.534,2.58380387,NA,NA,NA
10-Aug-15,2015,TH15_014,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,445,black,21,424,46.13,32.18,41,172,none,183.3409,183.3409,2.263259359,NA,NA,NA
29-Jul-15,2015,TH15_015,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,490,black,21,469,47.89,34.54,41,168,none,271.0877,271.0877,2.433109813,NA,NA,NA
27-Jul-15,2015,TH15_017,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,none,none,none,none,47.39,35.19,49,180,none,258.111,258.111,2.411806513,NA,NA,NA
15-Jul-15,2015,TH15_019,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,male?,520,black,21,499,none,none,49,181,none,264.66465,264.66465,2.422695939,NA,NA,NA
29-Jul-15,2015,TH15_020,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,650,black,21,629,52,36.62,52,185,none,325.4885,325.4885,2.512535649,NA,NA,NA
15-Jul-15,2015,TH15_021,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,male?,565,black,21,544,none,none,52,187,none,360.2356,360.2356,2.556586629,NA,NA,NA
15-Jul-15,2015,TH15_022,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,female?,515,black,21,494,none,none,40,179,none,207.3428,207.3428,2.316688959,NA,NA,NA
20-Jul-15,2015,TH15_032,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,570,black,21,549,50.5,36.02,52,189,none,424.1671,424.1671,2.62753698,NA,NA,NA
29-Jul-15,2015,TH15_034,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,500,black,21,479,49.32,36.55,51,185,none,197.5634,197.5634,2.295706492,NA,NA,NA
20-Jul-15,2015,TH15_035,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,560,black,21,539,52.34,36.52,53,189,none,289.4444,289.4444,2.461565152,NA,NA,NA
29-Jul-15,2015,TH15_037,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,510,black,21,489,48.54,37.42,47,176,none,333.2561,333.2561,2.522778108,NA,NA,NA
27-Jul-15,2015,TH15_038,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,545,black,21,524,50.8,39.11,55,184,none,201.4942,201.4942,2.30426255,NA,NA,NA
31-Jul-15,2015,TH15_041,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,560,black,21,539,51.38,36.98,50,188,none,236.7737,236.7737,2.374333461,NA,NA,NA
10-Aug-15,2015,TH15_042,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,585,black,21,564,51.57,35.8,49,180,none,326.2474,326.2474,2.513547059,NA,NA,NA
31-Jul-15,2015,TH15_045,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,535,black,21,514,52.9,35.56,42,178,none,150.4212,150.4212,2.177309049,NA,NA,NA
27-Jul-15,2015,TH15_046,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,unknown,535,black,21,514,51.23,35.22,50,186,none,280.3162,280.3162,2.447648197,NA,NA,NA
16-Jul-16,2016,TH16_011,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,male,630,red,14,616,52.57,38.29,50,185,NA,430.877,430.877,2.634353312,-20.09,14.07,1.148294097
18-Jul-17,2017,TH17_023,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,female?,540,red,14,526,50.4,35.54,45,182,84.98,352.62,352.62,2.547306941,-20.21,14.24,1.153509989
18-Jul-17,2017,TH17_024,Atlantic Puffin,Fratercula arctica,ATPU,1,Witch's Tit,adult,male?,540,red,14,526,50.85,35.99,50,181,84.76,514.345,514.345,2.711254522,-20.24,13.77,1.13893394
26-Jul-19,2019,TH19_050,Atlantic Puffin,Fratercula arctica,ATPU,1,witch's tit,adult,unknown,485,black,21,464,49.34,37.92,45,168,78.28,215.486,215.486,2.33341906,-20.31,14.31,1.155639634
26-Jul-19,2019,TH19_062,Atlantic Puffin,Fratercula arctica,ATPU,1,witch's tit,adult,unknown,560,red,15,552,46.8,39.2,54,193,87.41,288.38,288.38,2.459965137,-20.36,13.59,1.133219457
26-Jul-19,2019,TH19_063,Atlantic Puffin,Fratercula arctica,ATPU,1,witch's tit,adult,unknown,580,red,15,572,44.58,39.51,46,186,82.4,377.097,377.097,2.576453077,-20.55,14.01,1.146438135
26-Jul-19,2019,TH19_064,Atlantic Puffin,Fratercula arctica,ATPU,1,witch's tit,adult,unknown,365,red,15,357,42.12,33.53,45,163,76.47,303.846,303.846,2.482653523,-19.96,14.32,1.155943018
26-Jul-19,2019,TH19_065,Atlantic Puffin,Fratercula arctica,ATPU,1,witch's tit,adult,unknown,410,red,15,402,44.19,34.76,44,171,80.06,486.821,486.821,2.687369304,-20.32,14.21,1.152594078
28-Jul-19,2019,TH19_067,Atlantic Puffin,Fratercula arctica,ATPU,1,witch's tit,adult,unknown,530,red,15,522,49.63,38.31,47,186,78.73,250.15,250.15,2.398200507,-20.05,14.13,1.150142162
6-Aug-19,2019,TH19_103,Atlantic Puffin,Fratercula arctica,ATPU,1,witch's tit,adult,unknown,475,red,15,460,50,37.88,46,179,86,382.529,382.529,2.582664365,-20.7,14,1.146128036
3-Jul-10,2010,TH2010_003,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,390,black,21,369,28.62,36.75,none,165,NA,619.0701,619.0701,2.791739829,-19.43,14.26,1.154119526
3-Jul-10,2010,TH2010_004,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,390,black,21,369,28.86,36.27,none,173,NA,600.8742,600.8742,2.778783557,-18.7,13.5,1.130333768
3-Jul-10,2010,TH2010_006,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,430,black,21,409,24.92,36.89,none,176,NA,528.16775,528.16775,2.72277188,-18.33,14.36,1.15715444
5-Jul-10,2010,TH2010_033,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,430,black,21,409,26.97,39.19,none,170,NA,545.2123,545.2123,2.736565645,-18.6,15.14,1.180125875
5-Jul-10,2010,TH2010_038,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,420,black,21,399,27.22,35.32,none,172,NA,440.1489,440.1489,2.643599621,-18.63,14.31,1.155639634
30-Jul-10,2010,TH2010_098,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,400,red,14,386,25.86,38.4,none,169,NA,684.401,684.401,2.835310635,-18.4,14.68,1.166726056
27-Jul-10,2010,TH2010_100,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,460,black,21,439,28.07,38.45,none,158,NA,681.2207,681.2207,2.833287836,-18.86,14.84,1.1714339010000001
30-Jul-10,2010,TH2010_303,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,435,red,14,421,26.18,36.16,none,165,NA,484.1452,484.1452,2.68497563,-18.34,14.59,1.164055292
30-Jul-10,2010,TH2010_311,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,370,red,14,356,27.94,38.55,none,162,NA,562.6915,562.6915,2.750270355,-18.73,14.2,1.152288344
30-Jul-10,2010,TH2010_312,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,435,black,21,414,28.28,38.26,none,169,NA,1140.511,1140.511,3.057099478,-18.75,14.51,1.161667412
30-Jul-10,2010,TH2010_313,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,410,red,14,396,28.97,36.16,none,162,NA,625.7471,625.7471,2.796398846,-18.61,14.59,1.164055292
30-Jul-10,2010,TH2010_314,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,360,red,14,346,29.76,36.26,none,164,NA,830.0526,830.0526,2.919105614,-18.67,14.78,1.169674434
30-Jul-10,2010,TH2010_315,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,420,red,14,406,30.53,39.36,none,169,NA,823.1353,823.1353,2.915471227,-18.92,13.76,1.138618434
30-Jul-10,2010,TH2010_316,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,460,red,14,446,28.1,37.44,none,164,NA,589.2092,589.2092,2.770269519,-18.79,15.17,1.180985581
30-Jul-10,2010,TH2010_317,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,430,black,21,409,29.07,35.28,none,173,NA,764.3309,764.3309,2.883281417,-18.54,14.99,1.175801633
30-Jul-10,2010,TH2010_318,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,none,NA,NA,NA,28.92,37.15,none,172,NA,983.6257,983.6257,2.992829867,-18.8,14.58,1.163757524
30-Jul-10,2010,TH2010_320,Black Guillemot,Cepphus grylle,BLGU,2,Witches Tit,adult,unknown,455,red,14,441,30.22,37.17,none,163,NA,576.9229,576.9229,2.761117778,-18.65,13.8,1.139879086
13-Jul-12,2012,TH12_B003,Black Guillemot,Cepphus grylle,BLGU,2,Saunders Island- beach,adult,unknown,430,red,14,416,30.98,36.75,--,166,NA,365.714,365.714,2.563141586,NA,NA,NA
13-Jul-12,2012,TH12_B004,Black Guillemot,Cepphus grylle,BLGU,2,Saunders Island- beach,adult,unknown,400,red,14,386,28.32,37.46,--,166,NA,541.576,541.576,2.73365941,-18.78,13.85,1.141449773
20-Jul-13,2013,TH13-017,Black Guillemot,Cepphus grylle,BLGU,2,Witch's Tit,adult,unknown,405,red bag,14,391,26.62,36.89,46,165,NA,627.93625,627.93625,2.797915555,-19.69,13.86,1.14176323
20-Jul-13,2013,TH13-018,Black Guillemot,Cepphus grylle,BLGU,2,Witch's Tit,adult,unknown,470,red bag,14,456,26.51,37.97,54,167,NA,491.5517,491.5517,2.691569202,-18.8,14.11,1.149527014
20-Jul-13,2013,TH13-021,Black Guillemot,Cepphus grylle,BLGU,2,Saunder's (beach),adult,unknown,355,red bag,14,341,24.93,35.54,45,160,NA,434.4425,434.4425,2.637932304,-18.69,13.56,1.13225969
20-Jul-13,2013,TH13-022,Black Guillemot,Cepphus grylle,BLGU,2,Saunder's (beach),adult,unknown,430,red bag,14,416,29,36.94,50,169,NA,515.60745,515.60745,2.712319184,-19.55,14.48,1.160768562
20-Jul-13,2013,TH13-024,Black Guillemot,Cepphus grylle,BLGU,2,Saunder's (beach),adult,unknown,365,red bag,14,351,26.31,35.47,59,164,NA,1165.475,1165.475,3.066502962,NA,NA,NA
11-Jul-14,2014,TH14_060,Black Guillemot,Cepphus grylle,BLGU,2,Saunders Island,adult,unknown,405,black,48,357,26.99,38.55,44,168,NA,598.7841,598.7841,2.77727026,-20.09,14.78,1.169674434
11-Jul-14,2014,TH14_062,Black Guillemot,Cepphus grylle,BLGU,2,Saunders Island,adult,unknown,365,black,48,317,25.68,36.05,46,166,NA,498.7277,498.7277,2.69786349,-18.81,13.85,1.141449773
15-Jul-15,2015,TH15_026,Black Guillemot,Cepphus grylle,BLGU,2,Saunders Island,adult,unknown,335,red,14,321,27.27,33.74,45,170,none,809.0118,809.0118,2.907954856,NA,NA,NA
16-Jul-16,2016,TH16_012,Black Guillemot,Cepphus grylle,BLGU,2,Witch's Tit,adult,unknown,425,red,14,411,26.1,37.12,51,173,NA,1092.308,1092.308,3.038345114,NA,NA,NA
2-Jul-18,2018,TH18-010,Black Guillemot,Cepphus grylle,BLGU,2,Saunders,adult,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,477.251,477.251,2.678746847,-18.44,14.84,1.1714339010000001
2-Jul-18,2018,TH18-014,Black Guillemot,Cepphus grylle,BLGU,2,Saunders,adult,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,537.035,537.035,2.730002591,-19.08,13.92,1.143639235
2-Jul-18,2018,TH18-017,Black Guillemot,Cepphus grylle,BLGU,2,Saunders,adult,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,630.406,630.406,2.799620338,-18.34,14.98,1.175511813
